"St. Francisville, Louisiana",70775
" Natchez, Mississippi ",39120
"Vicksburg, Mississippi",39183
"Baton Rouge, Louisiana",70714
"Plantation Road, Louisiana ",70301
"Oak Alley, Louisiana",70360
"Helena, Arkansas",72342
"Astoria, Oregon",97103
"Stevenson, Washington",98648
"The Dalles, Oregon",97058
"Sacajawea State Park, Washington ",99301
"Clarkston, Washington ",99403
"New Madrid, Missouri ",63869
"Paducah, Kentucky",42001
"Henderson, Kentucky",42420
"Louisville, Kentucky",40201
"Madison, Indiana ",47250
"Huntington, West Virginia ",25701
"Portsmouth, Ohio ",45662
"Maysville, Kentucky",41056
"Point Pleasant, West Virginia ",25550
"Marietta, Ohio",45750
"Wheeling, West Virginia",26003
"Cape Girardeau, Missouri",63701
"Chester, Illinois ",62233
"St. Louis, Missouri",63101
"Hannibal, Missouri",63401
"Dubuque, Iowa ",52001
"La Crosse, Wisconsin",54601
"Red Wing, Minnesota",55066
"Burlington, Iowa",52601
"St. Charles, Missouri",63301
"Alton, Illinois ",62002
"Cave-In-Rock, Illinois",62919
"Brandenburg, Kentucky",40108
"Owensboro, Kentucky",42301
"Dover, Tennessee ",37058
"Clarksville, Tennessee ",37042
"Nashville, Tennessee ",37201
"Savannah, Tennessee",38372
"Florence, Alabama ",35630
"Decatur, Alabama ",35603
"Chattanooga, Tennessee",37341